item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|187596073913|0,Frye Short Boots Women's Size 5 B Wyatt Harness Brown Suede Mid Heel Zip Up,Suede,S,12.57,GBP,£30.56,True,,2025-09-25T08:48:04.000Z,Pre-owned - Good,,scottstechshop,99.8,US,FIXED_PRICE,https://www.ebay.co.uk/itm/187596073913?_skw=Wyatt+Harness+Boots&hash=item2bad98ebb9:g:8oAAAOSwIa9nVBIi,2026-03-04T17:30:38.770830,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|197722175885|0,Vintage FRYE 'Wyatt'  Brown Leather Harness Western Moto Ankle Boots (7-7.5),Leather,L,79.01,GBP,£29.11,True,,2025-09-24T04:28:32.000Z,Pre-owned - Good,,vintagesoleshop,100.0,AU,FIXED_PRICE,https://www.ebay.co.uk/itm/197722175885?_skw=Wyatt+Harness+Boots&hash=item2e0928f98d:g:E98AAeSwhQNo03I5,2026-03-04T17:30:38.770841,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|267391111044|0,"Saint Laurent Wyatt Harness Boots – Smooth Leather, Men’s EU 40.5 / US 7.5, YSL ",Leather,S,717.77,GBP,£56.83,True,,2025-09-04T14:26:26.000Z,Pre-owned - Excellent,,simplyluxeshop,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/267391111044?_skw=Wyatt+Harness+Boots&hash=item3e41c08f84:g:QncAAeSwC2VouaCD,2026-03-04T17:30:38.770853,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|396996284004|0,Saint Laurent Paris Wyatt Harness Boots US 9,Other,S,485.1,GBP,Free,True,,2025-08-26T12:26:03.000Z,Pre-owned - Good,,umaibo75,100.0,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/396996284004?_skw=Wyatt+Harness+Boots&hash=item5c6ed28e64:g:0iwAAeSwBcNoragc,2026-03-04T17:30:38.770866,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|396996284016|0,Saint Laurent Ring Wyatt Harness Boots Eddie US9,Other,S,643.28,GBP,Free,True,,2025-08-26T12:26:03.000Z,Pre-owned - Good,,umaibo75,100.0,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/396996284016?_skw=Wyatt+Harness+Boots&hash=item5c6ed28e70:g:BGoAAeSwPwtorakK,2026-03-04T17:30:38.770878,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|396996284051|0,SAINT LAURENT Classic Wyatt Harness Boots BLACK EUR39,Other,S,1381.49,GBP,Free,True,,2025-08-26T12:26:03.000Z,Pre-owned - Good,,umaibo75,100.0,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/396996284051?_skw=Wyatt+Harness+Boots&hash=item5c6ed28e93:g:QlkAAeSwl3ForahZ,2026-03-04T17:30:38.770892,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|396996283974|0,Saint Laurent 14AW Wyatt Harness Ring Leather Boots US7,Leather,S,1070.39,GBP,Free,True,,2025-08-26T12:26:02.000Z,Pre-owned - Good,,umaibo75,100.0,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/396996283974?_skw=Wyatt+Harness+Boots&hash=item5c6ed28e46:g:2t4AAeSweIForahY,2026-03-04T17:30:38.770898,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|396996283976|0,SAINT LAURENT Wyatt harness ring boots US8,Other,S,432.38,GBP,Free,True,,2025-08-26T12:26:02.000Z,Pre-owned - Good,,umaibo75,100.0,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/396996283976?_skw=Wyatt+Harness+Boots&hash=item5c6ed28e48:g:2CwAAeSweAhoragZ,2026-03-04T17:30:38.770911,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|396955634546|0,Saint Laurent Wyatt Harness Black Leather Boots 42 EU / 9 US Made in Italy,Leather,S,374.3,GBP,£43.41,False,,2025-08-12T21:29:59.000Z,Pre-owned - Good,,metricgauge,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/396955634546?_skw=Wyatt+Harness+Boots&hash=item5c6c664b72:g:h6AAAeSwIGhom7IM,2026-03-04T17:30:38.770917,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|267362778211|0,Saint Laurent Paris Wyatt 40 Harness Boots in Camar BNWB 44,Other,S,1006.14,GBP,£78.21,True,,2025-08-11T12:12:31.000Z,New with box,,nothingfake37,98.2,US,FIXED_PRICE,https://www.ebay.co.uk/itm/267362778211?_skw=Wyatt+Harness+Boots&hash=item3e40103c63:g:vd4AAeSwTGxomd6p,2026-03-04T17:30:38.770931,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
